Order,Email,Created at,Order Date,Subtotal,Discount Amount,Lineitem name,CATEGORY,Lineitem price,open_rate,click_rate
#4329,79517064692,2021-04-07 19:18:12 +1000,4/7/2021,42.5,,Honey Lip Balms and Natural Lip Scrub - Honey Lip Balm - 12g,Honey Lip Balms and Natural Lip Scrub,6,10.70%,3.07%
#4329,79517064692,2021-04-07 19:18:12 +1000,4/7/2021,,,Honey Lip Balms and Natural Lip Scrub - Choc Mint Lip Balm - 12g,Honey Lip Balms and Natural Lip Scrub,6,25.83%,18.59%
#4329,79517064692,2021-04-07 19:18:12 +1000,4/7/2021,,0,Naked Beeswax Tea Light Candles with Glass Votive Cup - 12 Pack,Naked Beeswax Tea Light Candles with Glass Votive Cup,30.5,20.01%,14.64%
#4328,67309800322,2021-04-07 11:51:51 +1000,4/7/2021,19.5,0,Beeswax Wood Polish with Raw Linseed Oil,Beeswax Wood Polish with Raw Linseed Oil,19.5,0.82%,0.80%
#4327,11962959919,2021-04-07 11:02:24 +1000,4/7/2021,28,,Gift wrapping Service,Gift wrapping Service,5,51.09%,37.81%
#4327,11962959919,2021-04-07 11:02:24 +1000,4/7/2021,,0,Mini Chai and Honey Gift Box with Tea Strainer - Sweet'n'Sticky Chai / Original Masala,Mini Chai and Honey Gift Box with Tea Strainer,23,78.08%,49.23%
#4326,10336481051,2021-04-06 21:42:44 +1000,4/6/2021,29,0,Beeswax Reusable Food Wraps  DIY Kit - Large - Blue Forest Animals,Beeswax Reusable Food Wraps  DIY Kit,29,98.24%,7.69%
#4325,20501754080,2021-04-06 20:12:28 +1000,4/6/2021,50,0,Honey & Tea Lovers Gift Box with Handmade Soap & Lip Balm - Australian Black Tea / Heart Shaped Tea Infuser,Honey & Tea Lovers Gift Box with Handmade Soap & Lip Balm,50,28.78%,1.20%
#4324,7013376530,2021-04-06 14:08:36 +1000,4/6/2021,54.5,,Honey Butter Balm Moisturiser For Very Dry Skin,Honey Butter Balm Moisturiser For Very Dry Skin,13.5,40.34%,32.48%
#4324,7013376530,2021-04-06 14:08:36 +1000,4/6/2021,,,Honey Lip Balms and Natural Lip Scrub - Honey Lip Scrub - 15g,Honey Lip Balms and Natural Lip Scrub,6,96.99%,24.36%
#4324,7013376530,2021-04-06 14:08:36 +1000,4/6/2021,,,Honey Lip Balms and Natural Lip Scrub - Honey Lip Balm - 12g,Honey Lip Balms and Natural Lip Scrub,6,26.82%,4.39%
#4324,7013376530,2021-04-06 14:08:36 +1000,4/6/2021,,0,Beeswax Reusable Food Wraps  DIY Kit - Large - Bees and Honey,Beeswax Reusable Food Wraps  DIY Kit,29,8.91%,7.33%
#4323,75056864968,2021-04-06 07:59:45 +1000,4/6/2021,58.06,,Masala Chai Loose Leaf Tea - 50g,Masala Chai Loose Leaf Tea,8,6.70%,5.56%
#4323,75056864968,2021-04-06 07:59:45 +1000,4/6/2021,,,Sweet'n'Sticky Honey Chai Loose Leaf Tea With Australian Honey - 100g,Sweet'n'Sticky Honey Chai Loose Leaf Tea With Australian Honey,9.5,25.51%,15.73%
#4323,75056864968,2021-04-06 07:59:45 +1000,4/6/2021,,,Sweet'n'Sticky Honey Chai Loose Leaf Tea With Australian Honey - 250g,Sweet'n'Sticky Honey Chai Loose Leaf Tea With Australian Honey,22.56,85.80%,84.96%
#4323,75056864968,2021-04-06 07:59:45 +1000,4/6/2021,,0,White Chocolate Chai Loose Leaf Tea - 50g,White Chocolate Chai Loose Leaf Tea,8.5,2.63%,0.40%
#4322,88309542502,2021-04-06 03:21:37 +1000,4/6/2021,19.5,0,Beeswax Wood Polish with Raw Linseed Oil,Beeswax Wood Polish with Raw Linseed Oil,19.5,26.86%,4.51%
#4321,18854145081,2021-04-05 08:44:26 +1000,4/5/2021,52.5,,Australian Grown Loose Leaf Tea - 50g,Australian Grown Loose Leaf Tea,8,63.31%,19.21%
#4321,18854145081,2021-04-05 08:44:26 +1000,4/5/2021,,,Beeswax Leather Polish with Cocoa Butter,Beeswax Leather Polish with Cocoa Butter,17.5,15.63%,7.17%
#4321,18854145081,2021-04-05 08:44:26 +1000,4/5/2021,,0,Honey Butter Balm Moisturiser For Very Dry Skin,Honey Butter Balm Moisturiser For Very Dry Skin,13.5,74.48%,8.09%
#4320,22491727745,2021-04-04 07:56:50 +1000,4/4/2021,85,,Golden Turmeric Chai Loose Leaf Tea - 50g,Golden Turmeric Chai Loose Leaf Tea,8.5,55.40%,17.50%
#4320,22491727745,2021-04-04 07:56:50 +1000,4/4/2021,,0,Golden Turmeric Chai Loose Leaf Tea - 250g,Golden Turmeric Chai Loose Leaf Tea,38.25,67.77%,54.40%
#4319,85681743336,2021-04-03 13:44:24 +1100,4/3/2021,8,0,Masala Chai Loose Leaf Tea - 50g,Masala Chai Loose Leaf Tea,8,81.94%,42.16%
#4318,3636083351,2021-04-02 16:47:57 +1100,4/2/2021,22.56,0,Sweet'n'Sticky Honey Chai Loose Leaf Tea With Australian Honey - 250g,Sweet'n'Sticky Honey Chai Loose Leaf Tea With Australian Honey,22.56,90.07%,0.12%
#4317,49831924159,2021-04-01 18:21:14 +1100,4/1/2021,15.9,0,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,15.9,4.42%,1.24%
#4316,98709040442,2021-03-31 22:12:03 +1100,3/31/2021,38,0,Tea Sampler Gift Box With Tea Strainer - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box With Tea Strainer,38,91.85%,26.88%
#4315,72193813330,2021-03-31 10:52:10 +1100,3/31/2021,17.5,,Masala Chai - 50g,Masala Chai,8,24.46%,20.62%
#4315,72193813330,2021-03-31 10:52:10 +1100,3/31/2021,,0,Sweet'n'Sticky Honey Chai - 100g,Sweet'n'Sticky Honey Chai,9.5,14.23%,9.79%
#4314,21268094242,2021-03-31 10:20:13 +1100,3/31/2021,328.98,,Dark Chocolate Chai,Dark Chocolate Chai,6,99.91%,29.31%
#4314,21268094242,2021-03-31 10:20:13 +1100,3/31/2021,,,White Chocolate Chai,White Chocolate Chai,6,63.18%,9.64%
#4314,21268094242,2021-03-31 10:20:13 +1100,3/31/2021,,,Sticky Turmeric Chai,Sticky Turmeric Chai,6.33,42.13%,17.60%
#4314,21268094242,2021-03-31 10:20:13 +1100,3/31/2021,,,Sweet'n'Sticky Chai,Sweet'n'Sticky Chai,6.33,30.44%,7.75%
#4314,21268094242,2021-03-31 10:20:13 +1100,3/31/2021,,,Rooibos Chai,Rooibos Chai,7.66,40.11%,2.72%
#4314,21268094242,2021-03-31 10:20:13 +1100,3/31/2021,,,Mini Chai Gift Boxes - Assorted,Mini Chai Gift Boxes,18.6,46.00%,9.81%
#4314,21268094242,2021-03-31 10:20:13 +1100,3/31/2021,,,Beeswax Tea Lights - 6 pack,Beeswax Tea Lights,17.42,23.19%,6.63%
#4314,21268094242,2021-03-31 10:20:13 +1100,3/31/2021,,,Honey Face Cleanser Packs,Honey Face Cleanser Packs,22.35,10.06%,9.43%
